TTI,Total_Throughput_Mbps,Fairness_Index,User_0_Throughput,User_1_Throughput,User_2_Throughput,User_3_Throughput,User_4_Throughput,User_5_Throughput,User_6_Throughput,User_7_Throughput,User_8_Throughput,User_9_Throughput,User_0_RBs,User_1_RBs,User_2_RBs,User_3_RBs,User_4_RBs,User_5_RBs,User_6_RBs,User_7_RBs,User_8_RBs,User_9_RBs
69,11236.199999999986,0.8093325472163451,1072.7800000000066,1339.5399999999997,1446.6599999999921,2200.6499999999874,750.0600000000042,1720.499999999991,465.74000000000046,1061.0900000000063,870.5399999999989,308.63999999999993,9,8,0,9,0,8,8,8,0,0
70,11413.899999999987,0.8069096679948774,1094.6200000000067,1366.0999999999992,1446.6599999999921,2245.049999999989,750.0600000000042,1764.8999999999905,476.3600000000005,1090.9700000000057,870.5399999999989,308.63999999999993,8,8,0,8,0,8,9,9,0,0
71,11595.969999999987,0.8040383644642675,1116.4600000000069,1395.9799999999987,1446.6599999999921,2289.4499999999903,750.0600000000042,1814.8499999999901,485.8000000000006,1117.5300000000052,870.5399999999989,308.63999999999993,8,9,0,8,0,9,8,8,0,0
72,11873.469999999985,0.8008459594372952,1116.4600000000069,1395.9799999999987,1724.1599999999899,2289.4499999999903,750.0600000000042,1814.8499999999901,485.8000000000006,1117.5300000000052,870.5399999999989,308.63999999999993,0,0,50,0,0,0,0,0,0,0
73,12150.969999999983,0.7921899351635172,1116.4600000000069,1395.9799999999987,2001.6599999999876,2289.4499999999903,750.0600000000042,1814.8499999999901,485.8000000000006,1117.5300000000052,870.5399999999989,308.63999999999993,0,0,50,0,0,0,0,0,0,0
74,12378.549999999987,0.7847803337163478,1132.840000000007,1412.5799999999983,2162.609999999991,2317.199999999991,750.0600000000042,1814.8499999999901,491.7000000000006,1117.5300000000052,870.5399999999989,308.63999999999993,6,5,29,5,0,0,5,0,0,0
75,12561.84999999999,0.7812783582193439,1160.1400000000071,1445.7799999999977,2218.109999999993,2372.699999999993,750.0600000000042,1814.8499999999901,503.5000000000007,1117.5300000000052,870.5399999999989,308.63999999999993,10,10,10,10,0,0,10,0,0,0
76,12778.749999999995,0.7752242715658774,1192.9000000000074,1485.619999999997,2290.259999999995,2444.8499999999954,750.0600000000042,1814.8499999999901,503.5000000000007,1117.5300000000052,870.5399999999989,308.63999999999993,12,12,13,13,0,0,0,0,0,0
77,12990.599999999999,0.7698696096603838,1228.3900000000076,1528.779999999996,2356.8599999999974,2511.4499999999975,750.0600000000042,1814.8499999999901,503.5000000000007,1117.5300000000052,870.5399999999989,308.63999999999993,13,13,12,12,0,0,0,0,0,0
78,13207.500000000002,0.7638094886015357,1261.1500000000078,1568.6199999999953,2429.0099999999998,2583.6,750.0600000000042,1814.8499999999901,503.5000000000007,1117.5300000000052,870.5399999999989,308.63999999999993,12,12,13,13,0,0,0,0,0,0
79,13419.350000000006,0.7584668843603405,1296.640000000008,1611.7799999999945,2495.610000000002,2650.200000000002,750.0600000000042,1814.8499999999901,503.5000000000007,1117.5300000000052,870.5399999999989,308.63999999999993,13,13,12,12,0,0,0,0,0,0
80,13478.350000000004,0.7631294176418643,1296.640000000008,1611.7799999999945,2495.610000000002,2650.200000000002,750.0600000000042,1814.8499999999901,562.4999999999986,1117.5300000000052,870.5399999999989,308.63999999999993,0,0,0,0,0,0,50,0,0,0
81,13661.650000000007,0.7594486247710548,1323.9400000000082,1644.9799999999939,2551.1100000000038,2705.700000000004,750.0600000000042,1814.8499999999901,574.2999999999981,1117.5300000000052,870.5399999999989,308.63999999999993,10,10,10,10,0,0,10,0,0,0
